Title,Price,Rating,Image URL,Result Type
"Dell 15 Smart Choice (Previously Inspiron), 13th Gen Intel Core i5-1334U (16GB RAM, 1TB SSD) FHD, 15.6""/39.62cm, Windows 11 MSO'24, Silver, 1.62kg, 12 Month McAfee, Backlit KB, Thin & Light Laptop",₹704,3.8 out of 5 stars,https://m.media-amazon.com/images/I/718X9G8SM0L._AC_UY218_.jpg,Organic
"Dell 15, Intel Core i3/Core 3 14th Gen-100U, 16GB DDR4, 512GB SSD, FHD IPS, 15.6""/39.62cm, Windows 11, Microsoft Office Home 2024, Carbon Black, 1.63Kg, Thin & Light, Laptop Model NO - Dell 15 DCU5250",₹494,3.7 out of 5 stars,https://m.media-amazon.com/images/I/71I4NoKj-oL._AC_UY218_.jpg,Organic
"ASUS Vivobook 15, Smartchoice,Intel Core i3 13th Gen 1315U, 12GB RAM, 512GB SSD, FHD 15.6"", Win 11, Office 2024, Quiet Blue, 1.7Kg, X1504VA-BQ332WS, Intel UHD iGPU, M365 Basic (1Year)*, 42Whrs Laptop",₹519,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61JUHhbEMxL._AC_UY218_.jpg,Organic
"Apple 2026 MacBook Air 13″ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",₹1102,4.6 out of 5 stars,https://m.media-amazon.com/images/I/71eX66ytH+L._AC_UY218_.jpg,Ad
"Apple 2026 MacBook Air 15″ Laptop with M5 chip: AI and Apple Intelligence, 38.91 cm (15.3″) Liquid Retina Display, 24GB Unified Memory, 1TB SSD Storage, 12MP Center Stage Camera, Touch ID; Sky Blue",₹1701,5.0 out of 5 stars,https://m.media-amazon.com/images/I/718Ori0rXpL._AC_UY218_.jpg,Ad
"Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Indigo",₹650,4.7 out of 5 stars,https://m.media-amazon.com/images/I/61vTx-Qa1QL._AC_UY218_.jpg,Ad
"ASUS Vivobook S16,Intel Core Ultra 5 225H,AI PC(Intel Arc iGPU/16GB RAM/512GB SSD/FHD/16/60Hz/Backlit Keyboard/70Whr/Windows 11/M365 Basic(1Year)*/Office Home 2024/Cool Silver/1.7 Kg) S3607CA-SH071WS",₹799,4.1 out of 5 stars,https://m.media-amazon.com/images/I/71MAe4Du8uL._AC_UY218_.jpg,Ad
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN",₹499,4.1 out of 5 stars,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,Organic
"ASUS Vivobook 15, Smartchoice,Intel Core i3 13th Gen 1315U, 12GB RAM, 512GB SSD, FHD 15.6"", Win 11, Office 2024, Quiet Blue, 1.7Kg, X1504VA-BQ332WS, Intel UHD iGPU, M365 Basic (1Year)*, 42Whrs Laptop",₹519,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61JUHhbEMxL._AC_UY218_.jpg,Organic
"HP 15 (2026), AMD Athlon Dual Core 7120U - (8 GB DDR5/512 GB SSD/AMD Radeon 610M Graphics/DOS) Thin and Light Business Laptop/15.6"" HD Display/Turbo Silver/Copilot Key/1.5kg",₹403,2.5 out of 5 stars,https://m.media-amazon.com/images/I/718-7YE0WQL._AC_UY218_.jpg,Organic
